Nombre,FechaInicio,Nivel,duracion,Formato,Instructor,Informatica,Bases_de_datos,Sistemas_Operativos,Programacion,Linux,Machine_Learning,Cloud,Ciberseguridad,Desarrollo_Web,Redes,Inteligencia_Artificial,Big_Data,Desarrollo_Móvil,Descripcion
Introducción a la Programación,10/02/2025,Principiante,6 semanas,Virtual,Carlos López,No,No,No,Sí,No,No,No,No,No,No,No,No,No,"Curso básico para iniciarse en la programación de computadores, ideal para principiantes sin experiencia previa. Se cubren los conceptos fundamentales de lógica de programación, algoritmos y estructura de datos sencilla, utilizando un lenguaje amigable (por ejemplo Python). Al completar la formación, el alumno podrá escribir programas simples, entender la metodología de desarrollo y estará preparado para cursos de programación más avanzados."
Fundamentos de Redes Cisco (CCNA),05/03/2025,Principiante,8 semanas,Presencial,Miguel Torres,No,No,No,No,No,No,No,No,No,Sí,No,No,No,"Formación introductoria en redes de datos siguiendo el currículo CCNA de Cisco. El curso enseña el funcionamiento de las redes informáticas, incluyendo protocolos TCP/IP, configuración básica de routers y switches Cisco, subredes y resolución de problemas de conectividad. El estudiante practicará con laboratorios simulados para construir y asegurar redes pequeñas, sentando las bases para certificaciones de Cisco."
Administración de Windows Server,20/05/2025,Medio,10 semanas,Presencial,Juan García,No,No,Sí,No,No,No,No,No,No,Sí,No,No,No,"Curso enfocado en la instalación y administración del sistema operativo Windows Server en entornos empresariales. Se abarcan la gestión de Active Directory, configuraciones de servidores de archivos, DNS/DHCP, políticas de grupo y virtualización con Hyper-V. Al finalizar, el participante podrá desplegar y mantener una infraestructura Windows Server, gestionando usuarios, permisos y servicios de red de manera eficiente."
Desarrollo de Apps iOS con Swift,15/09/2025,Avanzado,12 semanas,Presencial,Luis Fernández,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,"Programa especializado en la creación de aplicaciones nativas para dispositivos iOS (iPhone/iPad) utilizando el lenguaje Swift. El curso cubre el entorno de desarrollo Xcode, los fundamentos de SwiftUI para diseñar interfaces atractivas y la integración de funcionalidades propias de iOS (gestos táctiles, persistencia de datos, notificaciones). El alumno desarrollará varias aplicaciones prácticas y conocerá el proceso de publicación en la App Store."
Desarrollo Front-End con Angular,01/08/2025,Medio,8 semanas,Virtual,Pedro Sánchez,No,No,No,Sí,No,No,No,No,Sí,No,No,No,No,"Curso centrado en el desarrollo front-end moderno empleando el framework Angular. Se estudian TypeScript, la arquitectura de componentes, data binding, rutas y consumo de APIs REST para crear aplicaciones web de una sola página (SPA) interactivas. El participante construirá una aplicación completa con Angular, aplicando buenas prácticas de maquetación responsive y optimización de rendimiento en el navegador."
Machine Learning Avanzado con TensorFlow,10/01/2026,Avanzado,12 semanas,Presencial,María Rodríguez,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,"Formación avanzada en aprendizaje automático utilizando la librería TensorFlow de Google. El curso abarca la creación de redes neuronales profundas (DNN), incluyendo redes convolucionales (CNN) para visión por computador y redes recurrentes (RNN) para procesamiento de secuencias. Se realizarán experimentos de entrenamiento y ajuste de modelos en conjuntos de datos complejos. Al finalizar, el alumno será capaz de desarrollar e implementar modelos de deep learning para resolver problemas de predicción y clasificación."
Introducción a la Inteligencia Artificial,05/07/2025,Principiante,6 semanas,Virtual,Ana Gómez,No,No,No,No,No,No,No,No,No,No,Sí,No,No,"Curso teórico-práctico que ofrece una visión general de la inteligencia artificial. Se exploran los conceptos clave como sistemas expertos, algoritmos de búsqueda, representación del conocimiento y aprendizaje automático básico. El estudiante trabajará con ejemplos sencillos (p. ej., juegos clásicos, lógica difusa) para comprender cómo las máquinas pueden simular capacidades inteligentes. Es un punto de partida ideal para adentrarse posteriormente en ramas específicas de la IA."
Análisis de Malware y Forense Digital,20/11/2025,Avanzado,10 semanas,Presencial,Laura Martínez,No,No,No,No,No,No,No,Sí,No,No,No,No,No,"Programa avanzado de ciberseguridad enfocado en la identificación y análisis de software malicioso y en la investigación forense de incidentes informáticos. Se cubren técnicas de ingeniería inversa de malware, sandboxing, análisis de tráfico malicioso, así como procedimientos para recolectar y preservar evidencias digitales tras un ataque. El alumno aprenderá a desmontar malware para comprender su comportamiento y a generar informes forenses que apoyen investigaciones de seguridad."
Pentesting con Kali Linux,10/10/2025,Avanzado,8 semanas,Presencial,Elena Sánchez,No,No,No,No,Sí,No,No,Sí,No,Sí,No,No,No,"Curso práctico de pruebas de penetración utilizando la distribución Kali Linux. Se enseña al estudiante a utilizar herramientas especializadas (Nmap, Metasploit, Wireshark, etc.) para identificar vulnerabilidades en sistemas y redes. A través de laboratorios reales, el participante ejecutará ataques controlados a aplicaciones web, redes inalámbricas y sistemas operativos, con el objetivo de fortalecer las habilidades ofensivas y aplicar contramedidas de seguridad."
Administración de Bases de Datos MySQL,17/09/2025,Medio,8 semanas,Presencial,Patricia Díaz,No,Sí,No,No,No,No,No,No,No,No,No,No,No,"Formación orientada a la gestión de bases de datos relacionales MySQL. Se abarcan la instalación y configuración del servidor MySQL, diseño de esquemas de datos, lenguaje SQL (consultas, uniones, subconsultas) y tareas de administrador como copias de seguridad, replicación y tuning de rendimiento. Tras el curso, el alumno podrá administrar bases de datos MySQL de forma eficiente, garantizando la integridad y disponibilidad de la información."
Desarrollo Web Full Stack con JavaScript (MEAN),12/01/2026,Avanzado,12 semanas,Presencial,Carlos López,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,"Curso intensivo para convertirse en desarrollador full stack utilizando la pila MEAN (MongoDB, Express, Angular, Node.js). El programa cubre la creación de back-ends con Node.js y Express, el diseño de APIs RESTful, el manejo de bases NoSQL con MongoDB y la implementación de front-ends dinámicos con Angular. Al finalizar, el participante habrá desarrollado una aplicación web completa, dominando tanto el lado del servidor como el del cliente con tecnologías JavaScript."
Gestión de Big Data con Hadoop,05/06/2025,Medio,10 semanas,Presencial,Miguel Torres,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,"Curso especializado en la gestión y procesamiento de datos masivos con Apache Hadoop. Se introduce el ecosistema Hadoop (HDFS, YARN) y se practica el uso de MapReduce y Apache Hive para almacenar y analizar grandes conjuntos de datos distribuidos. El estudiante aprenderá a configurar un clúster Hadoop básico y a ejecutar tareas de procesamiento paralelo, adquiriendo las bases para proyectos de Big Data a gran escala."
Ciencia de Datos con Python,20/03/2025,Medio,8 semanas,Virtual,Juan García,No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,No,"Formación que combina estadística, programación y visualización de información para extraer conocimiento de datos. Usando Python, se trabajan bibliotecas populares como pandas, NumPy y scikit-learn para limpiar datos, realizar análisis exploratorio y construir modelos predictivos básicos. Asimismo, se utilizan herramientas de visualización (Matplotlib, Seaborn) para presentar hallazgos de manera clara. Al terminar, el alumno podrá afrontar pequeños proyectos de data science, desde la recopilación de datos hasta la obtención de conclusiones accionables."
Administración Avanzada de Linux (LPIC-3),07/04/2025,Avanzado,10 semanas,Presencial,Luis Fernández,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,"Curso avanzado de administración de sistemas Linux orientado a profesionales que buscan un dominio experto (nivel LPIC-3). Se profundiza en temas como redes y servicios empresariales (DNS, web, correo), seguridad avanzada (SELinux, FirewallD), alta disponibilidad, balanceo de carga y virtualización en Linux. El participante resolverá casos complejos de administración y estará preparado para liderar la gestión de infraestructuras Linux críticas en entornos corporativos."
DevOps con Jenkins y Kubernetes,14/09/2025,Avanzado,8 semanas,Presencial,Pedro Sánchez,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,"Programa práctico enfocado en la cultura DevOps, integrando la entrega continua (CI/CD) con Jenkins y la orquestación de contenedores con Kubernetes. El curso enseña a automatizar pipelines de construcción, pruebas e implementación de aplicaciones, además de desplegar y gestionar aplicaciones contenedorizadas en clústeres Kubernetes. Al finalizar, el estudiante podrá optimizar el ciclo de vida del desarrollo de software, logrando despliegues más rápidos y confiables en entornos cloud híbridos."
Administración de Contenedores con Docker,01/06/2025,Medio,6 semanas,Presencial,María Rodríguez,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,"Curso práctico sobre la virtualización a nivel de contenedor utilizando Docker. Se cubren la creación de imágenes Docker, la ejecución y orquestación de contenedores, y la gestión de volúmenes y redes en contenedores. El alumno aprenderá a empaquetar aplicaciones en contenedores portables que se ejecutan consistentemente en cualquier entorno, lo que mejora la eficiencia del despliegue y la escalabilidad de los servicios."
Azure Cloud Fundamentals (AZ-900),12/03/2025,Principiante,4 semanas,Virtual,Ana Gómez,No,No,No,No,No,No,Sí,No,No,No,No,No,No,"Curso introductorio a los fundamentos de la computación en la nube con Microsoft Azure, alineado con el examen de certificación AZ-900. Se presentan los conceptos básicos de los servicios en la nube, los modelos de servicio (IaaS, PaaS, SaaS) y las principales soluciones Azure en computación, almacenamiento, redes y seguridad. El participante obtendrá una comprensión sólida de la propuesta de valor de Azure y estará preparado para profundizar en especializaciones cloud o certificaciones avanzadas."
Arquitectura de Microservicios,08/08/2025,Avanzado,8 semanas,Presencial,Laura Martínez,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,"Formación avanzada en diseño e implementación de aplicaciones basadas en microservicios. Se abordan patrones de arquitectura (API Gateway, Circuit Breaker), comunicación entre servicios (REST, mensajería), contenedorización y despliegue en la nube. El curso enfatiza la escalabilidad y mantenibilidad del software, enseñando al alumno a dividir aplicaciones monolíticas en servicios pequeños e independientes que pueden desarrollarse y escalarse de forma autónoma."
Internet de las Cosas (IoT),05/11/2025,Medio,8 semanas,Presencial,Elena Sánchez,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,"Curso interdisciplinario sobre el Internet de las Cosas, combinando electrónica básica, redes y análisis de datos. Se aprende a conectar sensores y actuadores a microcontroladores (p.ej. Arduino, ESP32) y a transmitir los datos a través de Internet hacia plataformas IoT en la nube. El estudiante desarrollará un proyecto práctico integrando dispositivos inteligentes y servicios web, entendiendo cómo la IoT puede aplicarse en entornos domésticos e industriales para monitorización y control remoto."
Procesamiento de Lenguaje Natural (NLP) con Python,15/04/2025,Avanzado,8 semanas,Virtual,Patricia Díaz,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,"Curso especializado en técnicas de procesamiento de lenguaje natural utilizando Python. Se estudiarán métodos para el análisis de texto como tokenización, etiquetado POS, extracción de entidades y utilización de bibliotecas (NLTK, spaCy) para comprender y generar lenguaje humano. Además, se introducirán modelos de lenguaje modernos y cómo implementar chatbots básicos. Al finalizar, el alumno podrá desarrollar aplicaciones capaces de interpretar texto y extraer información relevante de documentos."
Deep Learning con PyTorch,18/06/2025,Avanzado,10 semanas,Virtual,Carlos López,No,No,No,Sí,No,Sí,No,No,No,No,Sí,Sí,No,"Formación avanzada en redes neuronales profundas utilizando el framework PyTorch. El curso aborda la construcción de modelos de deep learning desde cero, incluyendo redes convolucionales para visión por computador, redes recurrentes para series temporales y técnicas de entrenamiento como optimizadores y regularización. Los estudiantes realizarán experimentos entrenando modelos con conjuntos de datos reales y ajustarán hiperparámetros para mejorar la precisión. Al concluir, estarán preparados para implementar soluciones de inteligencia artificial de última generación."
Ingeniería de Datos con Kafka,02/02/2026,Avanzado,6 semanas,Presencial,Miguel Torres,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,"Curso centrado en la arquitectura de sistemas de datos en tiempo real con Apache Kafka. Se enseña a configurar clústeres Kafka, producir y consumir flujos de datos y construir pipelines de procesamiento de eventos. El estudiante aprenderá a integrar Kafka con otras herramientas (Kafka Streams, Connect) para mover datos entre sistemas heterogéneos en tiempo real. Esta formación capacita para diseñar infraestructuras de mensajería robustas que soporten aplicaciones de Big Data y microservicios."
Bases de Datos NoSQL (MongoDB),22/07/2025,Medio,6 semanas,Presencial,Juan García,No,Sí,No,No,No,No,No,No,No,No,No,Sí,No,"Curso dedicado al manejo de bases de datos NoSQL, enfocado en MongoDB. Se explican las diferencias entre modelos relacionales y NoSQL, y se practica el diseño de esquemas flexibles en JSON/BSON. El alumno aprenderá a realizar operaciones CRUD en MongoDB, construir consultas avanzadas y establecer replicación y sharding para escalabilidad. Tras la formación, podrá implementar MongoDB en proyectos que requieran manejar datos semi-estructurados de forma eficiente."
Administración de Sistemas UNIX,10/04/2025,Medio,6 semanas,Presencial,Luis Fernández,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,"Formación orientada a la administración de sistemas operativos UNIX tradicionales como AIX o Solaris. Se cubren comandos y utilidades propias del entorno UNIX, gestión de usuarios y permisos, configuración de servicios de red y scripting en shell. El participante adquirirá experiencia en entornos empresariales UNIX propietarios, complementando sus conocimientos de administración Linux con particularidades de estos sistemas robustos utilizados en infraestructuras críticas."
Administrador de Kubernetes (CKA),05/05/2025,Avanzado,8 semanas,Presencial,Pedro Sánchez,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,"Curso avanzado preparatorio para la certificación Certified Kubernetes Administrator (CKA). Incluye la instalación de clústeres Kubernetes, despliegue de aplicaciones en contenedores, manejo de servicios, volúmenes, configuraciones y actualización de clústeres sin tiempo de inactividad. El estudiante practicará troubleshooting y tareas administrativas complejas en Kubernetes, obteniendo las habilidades necesarias para orquestar contenedores a nivel profesional."
Essentials de Ciberseguridad,15/01/2025,Principiante,4 semanas,Virtual,María Rodríguez,No,No,No,No,No,No,No,Sí,No,No,No,No,No,"Curso esencial de ciberseguridad diseñado para principiantes que desean comprender los conceptos básicos de la seguridad informática. Se introducen los tipos de amenazas (malware, phishing), buenas prácticas de seguridad de la información, criptografía básica y nociones de seguridad en redes y en sistemas operativos. Al finalizar, el alumno sabrá identificar riesgos comunes y aplicar medidas sencillas para proteger datos y sistemas a nivel de usuario y pequeñas empresas."
Redes Cisco Avanzadas (CCNP),10/10/2025,Avanzado,10 semanas,Presencial,Ana Gómez,No,No,No,No,No,No,No,No,No,Sí,No,No,No,"Formación avanzada en redes Cisco orientada a profesionales que buscan profundizar sus conocimientos tras el CCNA. El curso sigue contenidos de CCNP e incluye configuración avanzada de routing (OSPF, BGP), switching multilayer, seguridad de redes y tecnologías de redes WAN. A través de laboratorios complejos, el participante resolverá escenarios reales de redes a gran escala, preparándose para roles de ingeniero de redes senior y las correspondientes certificaciones profesionales."
Programación en C/C++,20/07/2025,Medio,8 semanas,Presencial,Laura Martínez,No,No,No,Sí,No,No,No,No,No,No,No,No,No,"Curso orientado a desarrolladores con fundamentos de programación que deseen dominar los lenguajes C y C++. Se abarcan la sintaxis y características de C (punteros, manejo de memoria) y la programación orientada a objetos en C++ (clases, herencia, polimorfismo). El alumno escribirá aplicaciones de consola eficientes y comprenderá cómo gestionar recursos a bajo nivel, sentando las bases para desarrollar software de sistemas, videojuegos o aplicaciones de alto rendimiento."
Desarrollo de Videojuegos con Unreal Engine,01/09/2025,Avanzado,12 semanas,Presencial,Elena Sánchez,No,No,No,Sí,No,No,No,No,No,No,No,No,No,"Programa especializado en la creación de videojuegos utilizando Unreal Engine. Se cubren los fundamentos del motor (navegador de contenido, Blueprint scripting), diseño de niveles en 3D, física y efectos visuales avanzados. El estudiante construirá un pequeño juego aplicando mecánicas de juego, inteligencia artificial de enemigos y optimización de rendimiento. Al concluir, contará con experiencia práctica en uno de los motores de juego líderes de la industria."
Cloud Híbrida con OpenStack,18/08/2025,Avanzado,10 semanas,Presencial,Patricia Díaz,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,"Curso enfocado en la implementación de nubes privadas e híbridas con OpenStack. Se estudian los componentes principales de OpenStack (Nova, Neutron, Swift, Keystone) y cómo desplegar una infraestructura cloud privada. El participante aprenderá a integrar OpenStack con servicios públicos para conformar nubes híbridas, permitiendo a las empresas aprovechar recursos locales y en la nube de forma conjunta. Tras la formación, estará capacitado para administrar y escalar entornos cloud basados en software libre."
Seguridad en AWS (Cloud Security),07/07/2025,Medio,6 semanas,Presencial,Carlos López,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,"Formación especializada en la seguridad de entornos Amazon Web Services. Se profundiza en configuración segura de servicios AWS: gestión de identidades y accesos (IAM), encriptación de datos en S3 y RDS, arquitecturas de red seguras con Security Groups y NACLs, monitoreo de amenazas con CloudWatch/CloudTrail. El alumno comprenderá las mejores prácticas de AWS Well-Architected Framework en el pilar de seguridad, pudiendo diseñar y auditar infraestructuras cloud resistentes frente a ataques."
Introducción a Big Data,15/02/2025,Principiante,4 semanas,Virtual,Miguel Torres,No,No,No,No,No,No,No,No,No,No,No,Sí,No,"Curso introductorio al mundo del Big Data, dirigido a aquellos sin experiencia en el área. Se presentan los conceptos clave de datos masivos, las 5 V del Big Data (volumen, velocidad, variedad, veracidad, valor) y las tecnologías fundamentales del ecosistema (Hadoop, Spark, NoSQL). El estudiante explorará casos de uso de Big Data en diversos sectores y realizará ejercicios básicos de procesamiento de datos para entender el potencial de estas tecnologías en la toma de decisiones."
Desarrollo de Chatbots con IA,08/04/2025,Medio,6 semanas,Virtual,Juan García,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,"Curso práctico orientado a la creación de chatbots inteligentes capaces de mantener conversaciones naturales. Se utilizarán herramientas de procesamiento de lenguaje natural (por ejemplo, Dialogflow o IBM Watson Assistant) junto con lenguajes de programación como Python para diseñar bots que respondan a preguntas de usuarios. El participante aprenderá a entrenar modelos de lenguaje, a integrar chatbots en plataformas de mensajería (web, Telegram, etc.) y a mejorar iterativamente la calidad de las respuestas basadas en interacción real."
Administración de Servicios en la Nube,12/06/2025,Medio,6 semanas,Presencial,Luis Fernández,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,"Formación enfocada en la gestión operacional de servicios en entornos cloud. Se cubren tareas como la monitorización de recursos, la gestión de costes en la nube, la automatización de despliegues con infraestructura como código (Terraform) y la configuración de backups/recuperación ante desastres. El estudiante aplicará estos conceptos en un proveedor de nube (Azure/AWS) para mantener la continuidad y eficiencia de los servicios desplegados."
Desarrollo de Aplicaciones con PHP y MySQL,20/05/2025,Medio,10 semanas,Presencial,Pedro Sánchez,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,No,"Curso orientado al desarrollo web clásico utilizando PHP en el lado del servidor y MySQL como base de datos. El participante aprenderá a construir aplicaciones web dinámicas completas: diseñar bases de datos relacionales, realizar consultas SQL desde PHP y generar contenido HTML de forma dinámica. Se enfatizan buenas prácticas de programación (estructura MVC sencilla, sanitización de entradas, manejo de sesiones). Al finalizar, el alumno habrá desarrollado un proyecto web funcional, como un pequeño sistema de comercio electrónico o un blog."
Seguridad en Desarrollo de Software (DevSecOps),01/03/2026,Avanzado,8 semanas,Virtual,María Rodríguez,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,"Programa avanzado que integra prácticas de seguridad en el ciclo de vida del desarrollo de software. Se abordan técnicas para asegurar el código (análisis estático, revisión de dependencias), métodos de prueba de seguridad (pentesting de aplicaciones web/APIs) y la automatización de estas tareas en una canalización CI/CD. El alumno aprenderá a implementar un enfoque DevSecOps, garantizando que cada fase - desde la codificación hasta la implementación - incorpora medidas de seguridad proactivas para reducir vulnerabilidades."
Analítica de Datos con Excel y SQL,15/05/2025,Principiante,4 semanas,Virtual,Ana Gómez,No,Sí,No,No,No,No,No,No,No,No,No,No,No,"Curso práctico enfocado en el análisis de datos empresariales usando herramientas accesibles como Microsoft Excel y bases de datos SQL. El estudiante aprenderá a importar y limpiar datos en Excel, usar funciones avanzadas y tablas dinámicas para resumir información, y complementará esto con consultas SQL en una base de datos para extraer conjuntos de datos específicos. Al finalizar, será capaz de combinar el poder de Excel y SQL para generar informes y visualizaciones que apoyen la toma de decisiones en una organización."
Automatización de Tareas con PowerShell,05/10/2025,Medio,6 semanas,Virtual,Laura Martínez,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,"Formación orientada a administradores de sistemas que busquen automatizar tareas rutinarias en entornos Windows. Se cubren los fundamentos del scripting con PowerShell, cmdlets esenciales para gestión del sistema (usuarios, procesos, registros, red) y la escritura de scripts para realizar despliegues, recopilar información y configurar múltiples sistemas de forma simultánea. El alumno desarrollará scripts propios para simplificar la administración de entornos Windows, aumentando la eficiencia y reduciendo errores manuales."
Cloud Computing con Google Cloud (Architect),25/08/2025,Avanzado,8 semanas,Virtual,Elena Sánchez,No,No,No,No,No,No,Sí,No,No,No,No,No,No,"Curso especializado en diseño de arquitecturas cloud sobre Google Cloud Platform, orientado a aquellos que aspiran a roles de arquitecto cloud. Se tratan la planificación de infraestructuras escalables, elección de servicios adecuados (Compute Engine, Kubernetes Engine, Cloud Storage, BigQuery), optimización de costos y consideraciones de seguridad en GCP. A través de casos prácticos, el participante aprenderá a construir soluciones resilientes y altamente disponibles en la plataforma de Google, preparándolo para exámenes de certificación como el Google Cloud Architect."
Diseño de Interfaces Web Avanzado (UX/UI),15/09/2025,Medio,6 semanas,Virtual,Patricia Díaz,No,No,No,No,No,No,No,No,Sí,No,No,No,No,"Formación avanzada en diseño de interfaces de usuario para aplicaciones web modernas. Se profundiza en la creación de experiencias de usuario intuitivas a través de principios avanzados de UX, wireframing y prototipado con herramientas profesionales (Adobe XD, Figma). Además, se exploran técnicas de diseño visual (tipografía web, paletas de color, animaciones CSS) para producir interfaces atractivas. Al finalizar, el alumno podrá aplicar criterios de diseño centrado en el usuario en proyectos web complejos, mejorando la satisfacción y usabilidad de los productos digitales."
Oracle Java Enterprise (Jakarta EE) Development,02/11/2025,Avanzado,12 semanas,Presencial,Carlos López,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,No,"Curso orientado al desarrollo de aplicaciones empresariales en Java utilizando la plataforma Jakarta EE (antigua Java EE). Se abordan tecnologías clave como Servlets/JSP, Enterprise JavaBeans (EJB), JPA para persistencia y JAX-RS para servicios REST, sobre un servidor de aplicaciones como WildFly o GlassFish. El estudiante construirá una aplicación empresarial multicapa, integrando lógica de negocio, acceso a bases de datos y servicios web. Al concluir, estará preparado para desarrollar y desplegar soluciones corporativas robustas en entornos Java EE."
